Estado,Nota
Hong Kong Hong Kong ,89.8
Singapur Singapur ,88.6
Nueva Zelanda Nueva Zelanda ,83.7
Suiza Suiza ,81.5
 Australia ,81
Estonia Estonia ,79.1
Canadá Canadá ,78.5
Emiratos Árabes Unidos Emiratos Árabes Unidos ,76.9
 Irlanda ,76.7
Chile Chile ,76.5
 República de China ,76.5
Reino Unido Reino Unido ,76.4
Georgia Georgia ,76
Luxemburgo Luxemburgo ,75.9
Países Bajos Países Bajos ,75.8
Lituania Lituania ,75.8
 Estados Unidos ,75.1
Dinamarca Dinamarca ,75.1
Suecia Suecia ,74.9
Letonia Letonia ,74.8
 Mauricio ,74.7
Islandia Islandia ,74.4
Corea del Sur Corea del Sur ,74.3
Finlandia Finlandia ,74
Noruega Noruega ,74
Alemania Alemania ,73.8
Malasia Malasia ,73.8
República Checa República Checa ,73.3
Catar Catar ,73.1
Austria Austria ,72.3
Macedonia del Norte Macedonia del Norte ,70.7
Macao Macao ,70.7
Armenia Armenia ,70.3
Botsuana Botsuana ,71.1
Brunéi Brunéi ,69.8
Israel Israel ,69.7
Colombia Colombia ,69.7
Uruguay Uruguay ,69.7
Rumania Rumania ,69.7
Japón Japón ,69.6
 Jamaica ,69.5
Kazajistán Kazajistán ,69
Perú Perú ,68.9
Baréin Baréin ,68.5
Polonia Polonia ,68.3
Kosovo Kosovo ,67.9
Bulgaria Bulgaria ,67.9
Chipre Chipre ,67.9
Bélgica Bélgica ,67.8
Malta Malta ,67.7
Ruanda Ruanda ,67.6
Vanuatu Vanuatu ,67.4
Jordania Jordania ,66.7
Panamá Panamá ,66.3
 Tailandia ,66.2
Hungría Hungría ,65.8
Eslovaquia Eslovaquia ,65.7
Filipinas Filipinas ,65.6
San Vicente y las Granadinas San Vicente y las Granadinas ,65.2
Turquía Turquía ,65.2
Kuwait Kuwait ,65.1
Santa Lucía Santa Lucía ,65
Costa Rica Costa Rica ,65
Arabia Saudita Arabia Saudita ,64.4
Albania Albania ,64.4
El Salvador El Salvador ,64.1
Dominica Dominica ,63.7
Azerbaiyán Azerbaiyán ,63.6
España España ,63.6
México México ,63.6
Fiyi Fiyi ,63.4
 Francia ,63.3
 Tonga ,63
Guatemala Guatemala ,63
República Dominicana República Dominicana ,62.9
 Portugal ,62.6
Namibia Namibia ,62.5
Italia Italia ,62.5
Paraguay Paraguay ,62.4
 Sudáfrica ,62.3
Omán Omán ,62.1
Montenegro Montenegro ,62
Indonesia Indonesia ,61.9
Seychelles Seychelles ,61.8
Marruecos Marruecos ,61.5
Trinidad y Tobago Trinidad y Tobago ,61.2
Suazilandia Suazilandia ,61.1
Kirguistán Kirguistán ,61.1
Bahamas Bahamas ,61.1
Uganda Uganda ,60.9
Bosnia y Herzegovina Bosnia y Herzegovina ,60.2
Burkina Faso Burkina Faso ,59.6
Camboya Camboya ,59.5
Croacia Croacia ,59.4
Benín Benín ,59.2
 Eslovenia ,59.2
Nicaragua Nicaragua ,59.2
Serbia Serbia ,58.9
Honduras Honduras ,58.8
Belice Belice ,58.6
Malí Malí ,58.6
Gabón Gabón ,58.6
Bielorrusia Bielorrusia ,58.6
Tanzania Tanzania ,58.6
Guyana Guyana ,58.5
Bután Bután ,58.4
Samoa Samoa ,58.4
 Tayikistán ,58.2
Moldavia Moldavia ,58
China China ,57.4
Sri Lanka Sri Lanka ,57.4
Madagascar Madagascar ,57.4
Rusia Rusia ,57.1
Nigeria Nigeria ,57.1
Cabo Verde Cabo Verde ,56.9
República Democrática del Congo República Democrática del Congo ,56.4
Ghana Ghana ,56.2
Guinea-Bisáu Guinea-Bisáu ,56.1
Senegal Senegal ,55.9
Comoras Comoras ,55.8
 Zambia ,55.8
Túnez Túnez ,55.7
 Santo Tomé y Príncipe ,55.4
Nepal Nepal ,55.1
Islas Salomón Islas Salomón ,55
Grecia Grecia ,55
Bangladés Bangladés ,55
 Mongolia ,54.8
Barbados Barbados ,54.5
Mauritania Mauritania ,54.4
Micronesia Micronesia ,54.1
Laos Laos ,54
Lesoto Lesoto ,53.9
Kenia Kenia ,53.5
Gambia Gambia ,53.4
Líbano Líbano ,53.3
 Togo ,53.2
Burundi Burundi ,53.2
Brasil Brasil ,52.9
Pakistán Pakistán ,52.8
Etiopía Etiopía ,52.7
 India ,52.6
Egipto Egipto ,52.6
Sierra Leona Sierra Leona ,52.6
Vietnam Vietnam ,52.4
Uzbekistán Uzbekistán ,52.3
Malaui Malaui ,52.9
Camerún Camerún ,51.8
República Centroafricana República Centroafricana ,51.8
Papúa Nueva Guinea Papúa Nueva Guinea ,50.9
Kiribati Kiribati ,50.9
Níger Níger ,50.8
Irán Irán ,50.5
 Argentina ,50.4
Maldivas Maldivas ,50.3
Mozambique Mozambique ,49.9
Haití Haití ,49.6
Ecuador Ecuador ,49.3
Liberia Liberia ,49.1
 Chad ,49
Afganistán Afganistán ,48.9
Angola Angola ,48.5
Ucrania Ucrania ,48.1
Surinam Surinam ,48
Bolivia Bolivia ,47.7
Guinea Guinea ,47.6
 Turkmenistán ,47.4
Yibuti Yibuti ,46.7
Argelia Argelia ,46.5
Timor Oriental Timor Oriental ,46.3
Guinea Ecuatorial Guinea Ecuatorial ,45
Zimbabue Zimbabue ,44
Eritrea Eritrea ,42.2
República del Congo República del Congo ,40
Cuba Cuba ,33.9
Venezuela Venezuela ,27
Corea del Norte Corea del Norte ,4.9
Costa de Marfil Costa de Marfil ,
Yemen Yemen ,
Birmania Birmania ,
,
Control de autoridades,
